<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2025.10.29	19:17:00	3995.67	3995.86	3995.04	3995.23	58	0	17
2025.10.29	19:18:00	3994.99	3994.99	3994.19	3994.80	74	0	17
2025.10.29	19:19:00	3994.78	3994.98	3993.58	3993.82	74	0	17
2025.10.29	19:20:00	3993.87	3993.87	3989.86	3990.16	90	0	17
2025.10.29	19:21:00	3990.03	3992.36	3990.03	3991.73	91	0	17
2025.10.29	19:22:00	3991.71	3994.44	3991.71	3994.41	86	0	17
2025.10.29	19:23:00	3994.46	3995.23	3994.12	3994.43	83	0	17
2025.10.29	19:24:00	3994.21	3995.02	3992.22	3992.52	85	0	16
2025.10.29	19:25:00	3992.67	3993.08	3990.98	3991.14	91	0	16
2025.10.29	19:26:00	3991.13	3991.48	3989.80	3989.89	86	0	17
2025.10.29	19:27:00	3989.80	3991.40	3989.67	3989.67	87	0	11
2025.10.29	19:28:00	3989.61	3990.45	3989.51	3990.05	80	0	16
2025.10.29	19:29:00	3989.66	3989.79	3985.52	3986.74	101	0	16
2025.10.29	19:30:00	3986.95	3988.93	3986.24	3987.50	94	0	17
2025.10.29	19:31:00	3987.31	3988.92	3986.56	3988.37	89	0	17
2025.10.29	19:32:00	3988.12	3991.94	3988.06	3991.74	90	0	17
2025.10.29	19:33:00	3991.85	3992.17	3991.45	3992.14	88	0	17
2025.10.29	19:34:00	3992.65	3993.35	3992.47	3993.35	80	0	17
2025.10.29	19:35:00	3993.35	3993.59	3992.70	3992.70	80	0	17
2025.10.29	19:36:00	3992.84	3992.91	3991.31	3991.44	74	0	17
2025.10.29	19:37:00	3991.43	3993.81	3991.43	3993.69	85	0	17
2025.10.29	19:38:00	3993.72	3994.30	3993.72	3993.96	76	0	16
2025.10.29	19:39:00	3993.97	3994.76	3993.94	3994.06	68	0	16
2025.10.29	19:40:00	3994.19	3994.50	3992.65	3993.79	77	0	16
2025.10.29	19:41:00	3993.76	3995.39	3993.67	3994.47	86	0	16
2025.10.29	19:42:00	3994.50	3994.50	3992.63	3992.63	77	0	16
2025.10.29	19:43:00	3992.68	3993.11	3992.18	3992.18	81	0	16
2025.10.29	19:44:00	3992.20	3992.45	3991.35	3991.96	78	0	16
2025.10.29	19:45:00	3992.09	3993.08	3991.49	3992.57	78	0	16
2025.10.29	19:46:00	3992.62	3992.79	3991.76	3992.79	74	0	16
2025.10.29	19:47:00	3992.78	3993.82	3992.78	3993.80	74	0	16
2025.10.29	19:48:00	3993.84	3994.79	3993.67	3994.79	72	0	16
2025.10.29	19:49:00	3994.78	3995.20	3994.32	3994.80	81	0	16
2025.10.29	19:50:00	3994.78	3995.28	3994.59	3995.15	67	0	16
2025.10.29	19:51:00	3995.17	3995.90	3994.94	3995.08	73	0	16
2025.10.29	19:52:00	3994.93	3994.93	3993.25	3994.32	88	0	16
2025.10.29	19:53:00	3993.84	3994.89	3993.71	3994.45	72	0	16
2025.10.29	19:54:00	3994.36	3995.22	3994.29	3995.21	67	0	16
2025.10.29	19:55:00	3995.20	3995.83	3994.81	3994.82	79	0	16
2025.10.29	19:56:00	3994.83	3994.83	3994.03	3994.09	68	0	16
2025.10.29	19:57:00	3994.12	3994.98	3994.02	3994.89	60	0	16
2025.10.29	19:58:00	3994.72	3994.79	3993.77	3994.29	66	0	16
2025.10.29	19:59:00	3994.26	3994.95	3993.99	3994.68	72	0	16
2025.10.29	20:00:00	3994.59	3996.23	3988.51	3988.51	113	0	16
2025.10.29	20:01:00	3988.07	3991.06	3979.12	3988.01	127	0	16
2025.10.29	20:02:00	3987.98	4006.87	3987.95	3998.05	130	0	17
2025.10.29	20:03:00	3998.64	4000.33	3991.87	4000.20	123	0	11
2025.10.29	20:04:00	3999.11	3999.15	3992.89	3993.77	105	0	17
2025.10.29	20:05:00	3994.49	3995.97	3986.60	3991.11	117	0	16
2025.10.29	20:06:00	3990.71	3993.87	3986.81	3990.53	112	0	17
2025.10.29	20:07:00	3990.38	3993.07	3988.43	3991.09	115	0	17
2025.10.29	20:08:00	3991.25	3997.32	3989.40	3994.76	103	0	14
2025.10.29	20:09:00	3995.08	3997.47	3990.65	3993.16	109	0	14
2025.10.29	20:10:00	3993.49	3993.49	3988.91	3990.65	103	0	17
2025.10.29	20:11:00	3990.96	3993.00	3989.83	3990.92	103	0	17
2025.10.29	20:12:00	3990.94	3991.17	3985.30	3985.66	104	0	16
2025.10.29	20:13:00	3985.54	3988.92	3985.54	3988.48	94	0	16
2025.10.29	20:14:00	3988.44	3988.87	3982.55	3983.00	98	0	16
2025.10.29	20:15:00	3983.33	3988.74	3983.33	3988.02	99	0	16
2025.10.29	20:16:00	3988.11	3988.17	3985.35	3985.35	93	0	16
2025.10.29	20:17:00	3985.78	3987.70	3985.27	3985.75	98	0	16
2025.10.29	20:18:00	3985.45	3986.84	3984.38	3985.62	95	0	16
2025.10.29	20:19:00	3985.55	3989.58	3985.48	3987.68	96	0	16
2025.10.29	20:20:00	3987.54	3989.26	3986.01	3988.68	94	0	16
2025.10.29	20:21:00	3988.50	3988.99	3986.70	3988.34	93	0	17
2025.10.29	20:22:00	3987.86	3988.97	3986.20	3988.52	89	0	5
2025.10.29	20:23:00	3988.71	3988.93	3983.60	3984.18	98	0	17
2025.10.29	20:24:00	3984.56	3984.91	3980.48	3981.71	103	0	17
2025.10.29	20:25:00	3981.39	3981.50	3976.62	3979.09	106	0	17
2025.10.29	20:26:00	3979.33	3981.52	3977.82	3978.16	100	0	17
2025.10.29	20:27:00	3978.50	3983.61	3977.46	3983.00	99	0	12
2025.10.29	20:28:00	3982.72	3983.17	3979.37	3979.37	99	0	16
2025.10.29	20:29:00	3979.37	3981.77	3978.09	3981.04	95	0	16
2025.10.29	20:30:00	3981.05	3985.17	3981.05	3984.07	101	0	16
2025.10.29	20:31:00	3984.14	3988.11	3981.46	3982.14	106	0	16
2025.10.29	20:32:00	3982.08	3986.08	3978.23	3984.46	116	0	16
2025.10.29	20:33:00	3984.36	3989.33	3983.63	3988.19	109	0	16
2025.10.29	20:34:00	3988.24	3988.32	3983.78	3985.59	103	0	5
2025.10.29	20:35:00	3985.58	3986.71	3963.76	3971.04	147	0	5
2025.10.29	20:36:00	3970.02	3971.35	3952.27	3954.24	159	0	17
2025.10.29	20:37:00	3953.43	3968.75	3952.60	3966.14	135	0	5
2025.10.29	20:38:00	3966.29	3967.39	3954.42	3960.74	131	0	5
2025.10.29	20:39:00	3959.65	3962.18	3951.49	3951.49	114	0	17
2025.10.29	20:40:00	3952.06	3956.39	3947.32	3952.77	122	0	12
2025.10.29	20:41:00	3952.69	3955.44	3945.14	3946.34	122	0	17
2025.10.29	20:42:00	3946.23	3952.30	3943.03	3949.35	131	0	5
2025.10.29	20:43:00	3949.52	3957.51	3946.43	3955.10	123	0	5
2025.10.29	20:44:00	3954.57	3957.02	3952.08	3953.91	116	0	5
2025.10.29	20:45:00	3954.64	3962.93	3953.95	3957.09	116	0	16
